repeat_idx,case_idx,initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,final_gap_m,delta_gap_m,final_lead_speed_mps,final_ego_speed_mps,settled,collision,settle_time_s,ticks_executed,spawn_ok,error
0,110,13.5,2.5,5.0,-0.04817114529637312,-13.548171145296372,3.737777534364815,3.279106554622035,0,1,nan,129,1,
0,111,14.0,2.5,5.0,-0.06647312755350576,-14.066473127553506,3.8056375895134087,3.194809374851844,0,1,nan,129,1,
0,112,14.5,2.5,5.0,-0.040762834206057974,-14.540762834206058,3.638220954103358,3.4465680353452828,0,1,nan,137,1,
0,113,15.0,2.5,5.0,-0.05219544191923564,-15.052195441919235,3.640455559032105,3.4435162282947918,0,1,nan,137,1,
0,114,15.5,2.5,5.0,-0.058556754261187116,-15.558556754261186,3.8239241926755647,3.2185766944139527,0,1,nan,144,1,
0,115,16.0,2.5,5.0,-0.03876823450701483,-16.038768234507014,3.7505211275593457,3.3020632040486917,0,1,nan,144,1,
0,116,16.5,2.5,5.0,-0.03893155567917095,-16.53893155567917,3.65667596274376,3.465674968391866,0,1,nan,152,1,
0,117,17.0,2.5,5.0,-0.05476488161659443,-17.054764881616595,3.704582264847464,3.3942488687351955,0,1,nan,152,1,
0,118,17.5,2.5,5.0,-0.03937315433261812,-17.53937315433262,3.7737497132466675,3.324079024930996,0,1,nan,159,1,
0,119,18.0,2.5,5.0,-0.05894620036019216,-18.058946200360193,3.8388105303391695,3.238861740380061,0,1,nan,159,1,
0,120,18.5,2.5,5.0,0.7563471425352395,-17.74365285746476,2.215226039747073,4.848388305086843,0,0,nan,160,1,
0,121,19.0,2.5,5.0,0.7281763078289671,-18.271823692171033,2.212630430640929,4.848761121317028,0,0,nan,160,1,
0,122,19.5,2.5,5.0,1.7485669622456017,-17.7514330377544,2.215353121470262,4.848065111609705,0,0,nan,160,1,
0,123,20.0,2.5,5.0,1.759120623609105,-18.240879376390893,2.2173130324933426,4.848425596356447,0,0,nan,160,1,
0,124,20.5,2.5,5.0,2.7270317328246865,-17.772968267175315,2.215494598220391,4.848758252525994,0,0,nan,160,1,
0,125,21.0,2.5,5.0,2.75510461287155,-18.24489538712845,2.2167197029233425,4.84806425071242,0,0,nan,160,1,
0,126,21.5,2.5,5.0,3.7560193970421167,-17.743980602957883,2.2126916094623876,4.848414248553505,0,0,nan,160,1,
0,127,22.0,2.5,5.0,3.7330808679687504,-18.266919132031248,2.217321576367967,4.848755859710878,0,0,nan,160,1,
0,128,22.5,2.5,5.0,4.76506707971501,-17.73493292028499,2.2121510017562236,4.848784457666831,0,0,nan,160,1,
0,129,23.0,2.5,5.0,4.760010149561216,-18.239989850438782,2.212625253589448,4.848410699103128,0,0,nan,160,1,
0,130,23.5,2.5,5.0,5.76429328521257,-17.73570671478743,2.212554399606202,4.848664323206046,0,0,nan,160,1,
0,131,24.0,2.5,5.0,5.873289777781151,-18.126710222218847,2.2172946739794814,4.861336495725656,0,0,nan,160,1,
0,132,24.5,2.5,5.0,6.7555597989560585,-17.744440201043943,2.2152820661439914,4.848447379470174,0,0,nan,160,1,
0,133,25.0,2.5,5.0,6.789609845147856,-18.210390154852142,2.2153450595593975,4.849376242678593,0,0,nan,160,1,
0,134,25.5,2.5,5.0,7.742485292473681,-17.75751470752632,2.2172187464924384,4.848063296709962,0,0,nan,160,1,
0,135,26.0,2.5,5.0,7.848518426949223,-18.151481573050777,2.220111133376472,4.8478931164451,0,0,nan,160,1,
0,136,26.5,2.5,5.0,8.806254837853604,-17.693745162146396,2.212613290735491,4.847922840783544,0,0,nan,160,1,
0,137,27.0,2.5,5.0,8.73843218578852,-18.26156781421148,2.212720279914416,4.848063774455177,0,0,nan,160,1,
0,138,27.5,2.5,5.0,9.724353021712712,-17.775646978287288,2.217314822761758,4.848449759805794,0,0,nan,160,1,
0,139,28.0,2.5,5.0,9.815622179708186,-18.184377820291814,2.2172986932990395,4.848760644426548,0,0,nan,160,1,
0,140,28.5,2.5,5.0,10.732413626224554,-17.767586373775444,2.2171744229074775,4.848063296391128,0,0,nan,160,1,
0,141,29.0,2.5,5.0,10.717456265076459,-18.282543734923543,2.217265415169532,4.848383545746939,0,0,nan,160,1,
0,142,29.5,2.5,5.0,11.813844681794915,-17.686155318205085,2.215284773883888,4.84875921391754,0,0,nan,160,1,
0,143,30.0,2.5,5.0,11.729564491922002,-18.270435508078,2.212681191947464,4.848063772010528,0,0,nan,160,1,
0,144,30.5,2.5,5.0,12.693495755353297,-17.806504244646703,2.217326471218055,4.848448333982715,0,0,nan,160,1,
0,145,31.0,2.5,5.0,12.814267011514332,-18.185732988485668,2.212600654810746,4.848761122411,0,0,nan,160,1,
0,146,31.5,2.5,5.0,13.725227243586033,-17.774772756413967,2.2152028863525595,4.848063774986631,0,0,nan,160,1,
0,147,32.0,2.5,5.0,13.683384259749886,-18.316615740250114,2.2126542870199826,4.848447379470174,0,0,nan,160,1,
0,148,8.0,2.75,5.0,-0.06025235687948971,-8.06025235687949,3.7346979447675572,3.450876016033458,0,1,nan,92,1,
0,149,8.5,2.75,5.0,-0.06336917649974794,-8.563369176499748,3.799609497416309,3.3927766712012395,0,1,nan,100,1,
0,150,9.0,2.75,5.0,-0.06338491132570478,-9.063384911325706,3.7995235687050783,3.3927111266909393,0,1,nan,100,1,
